Timestamp,Tanggal,Pesawat ,Status,Jumlah Penumpang,Jumlah Cargo,Load Factor, Harga Tiket Tertinggi (Departure),Nama Petugas Posko,Remark,Destination ( From - To),Kode Penerbangan, Harga Tiket Terendah (Departure)
23/12/2024 14:55:02,23/12/2024,Susi air,Arrival,8,0,67, Rp 435.700 ,"RIZKI AULIA, AILSA, FATMA SASKIA",Perintis,DTD-AAP,SI8325,
23/12/2024 14:59:28,23/12/2024,Susi air,Departure,10,0,83, Rp 375.770 ,"RIZKI AULIA, AILSA, FATMA SASKIA",Perintis,AAP - MHU,SI8356,
23/12/2024 15:05:27,23/12/2024,Super Air Jet,Departure,181,113,100, Rp 1.395.700 ,"RIZKI AULIA, AILSA, FATMA SASKIA",Berjadwal,AAP - SUB,IU643,
23/12/2024 15:03:11,23/12/2024,Super Air Jet,Arrival,180,277,98,,"RIZKI AULIA, AILSA, FATMA SASKIA",Berjadwal,SUB - AAP,IU642,
23/12/2024 15:36:53,23/12/2024,Susi air,Arrival,9,0,75, Rp 365.770 ,"RIZKI AULIA, AILSA, FATMA SASKIA",Perintis,MHU - AAP,SI8357,
23/12/2024 15:38:11,23/12/2024,Citilink,Arrival,110,558,61,,"RIZKI AULIA, AILSA, FATMA SASKIA",Berjadwal,CGK - AAP,QG422,
23/12/2024 16:25:52,23/12/2024,Batik Air,Arrival,111,279,70,,"RIZKI AULIA, AILSA, FATMA SASKIA",Berjadwal,CGK - AAP,ID6676,
23/12/2024 17:34:00,23/12/2024,Citilink,Departure,180,174,99, Rp 1.656.029 ,"RIZKI AULIA, AILSA, FATMA SASKIA",Berjadwal,AAP - CGK,QG423,
23/12/2024 18:41:12,23/12/2024,Batik Air,Departure,152,0,97, Rp 1.944.800 ,"RIZKI AULIA, AILSA, FATMA SASKIA",Berjadwal,AAP - CGK,ID6677,
24/12/2024 9:37:38,24/12/2024,Batik Air,Arrival,90,2972,53, Rp 1.944.800 ,RORA ARDIAN,Berjadwal,CGK-AAP,ID6672,
24/12/2024 9:42:52,24/12/2024,Batik Air,Departure,153,493,97, Rp 1.944.800 ,ANDRIANI,Berjadwal,AAP-CGK,ID6673,
24/12/2024 9:52:18,24/12/2024,Wing air,Arrival,47,4,65, Rp 1.305.050 ,DIAH,Berjadwal,BEJ-AAP,IW1485,
24/12/2024 9:54:54,24/12/2024,Wing air,Departure,68,12,92, Rp 1.357.550 ,RORA,Berjadwal,AAP-BEJ,IW1484,
24/12/2024 11:55:25,24/12/2024,Super Air Jet,Arrival,179,2290,99, Rp 1.395.700 ,ANDRIANI,Berjadwal,SUB-AAP,IU640,
24/12/2024 11:56:36,24/12/2024,Super Air Jet,Departure,185,7,100, Rp 1.456.780 ,DIAH,Berjadwal,AAP-YIA,IU659,
24/12/2024 11:59:14,24/12/2024,Citilink,Arrival,156,1259,86, Rp 1.395.623 ,RORA ARDIAN,Berjadwal,SUB-AAP,QG460,
24/12/2024 12:00:14,24/12/2024,Citilink,Departure,179,217,99, Rp 1.395.623 ,ANDRIANI,Berjadwal,AAP-SUB,QG461,
24/12/2024 12:14:10,24/12/2024,Susi air,Arrival,12,0,100%, Rp 475.660 ,MAHRUS,Perintis,LPU-AAP,SI 8323,
24/12/2024 13:01:36,24/12/2024,Susi air,Departure,10,0,83, Rp 475.660 ,FARISAH,Perintis,AAP-LPU,SI8356,
24/12/2024 13:04:05,24/12/2024,Batik Air,Arrival,90,1764,57, Rp 1.944.700 ,ZALFA,Berjadwal,CGK-AAP,ID6256,
24/12/2024 13:06:24,24/12/2024,Susi air,Arrival,8,0,67, Rp 445.700 ,MAHRUS,Perintis,DTD-AAP,SI8325,
24/12/2024 13:43:58,24/12/2024,Batik Air,Departure,152,0,97, Rp 1.944.750 ,ZALFA,Berjadwal,AAP-CGK,ID6257,
24/12/2024 13:46:46,24/12/2024,Super Air Jet,Arrival,163,1842,89, Rp 1.456.780 ,FARISAH,Berjadwal,YIA-AAP,IU658,
24/12/2024 14:12:56,24/12/2024,Citilink,Arrival,116,1860,64, Rp 1.656.029 ,MAHRUS,Berjadwal,CGK-AAP,QG422,
24/12/2024 15:17:34,24/12/2024,Super Air Jet,Departure,181,202,99, Rp 1.395.700 ,FARISAH,Berjadwal,AAP-SUB,IU643,
24/12/2024 15:54:17,24/12/2024,Citilink,Departure,176,89,98, Rp 1.656.029 ,ZALFA,Berjadwal,AAP-CGK,QG423,
24/12/2024 16:27:38,24/12/2024,Batik Air,Arrival,116,1561,65, Rp 1.944.800 ,MAHRUS,Berjadwal,CGK-AAP,ID6676,
24/12/2024 17:39:26,24/12/2024,Batik Air,Departure,153,0,97, Rp 1.944.800 ,FARISAH,Berjadwal,AAP-CGK,ID6677,
25/12/2024 7:02:10,25/12/2024,Super Air Jet,Arrival,171,1830,94, Rp -   ,Rere Effendy G,Berjadwal,SUB-AAP,IU640,
25/12/2024 8:28:45,25/12/2024,Susi air,Departure,11,0,92, Rp 486.000 ,Rere Effendy G,Perintis,AAP - LPU,SI8322,
25/12/2024 9:41:38,25/12/2024,Super Air Jet,Departure,180,377,100, Rp 1.395.000 ,RERE EFFENDY G,Berjadwal,AAP - SUB,IU641,
25/12/2024 9:47:53,25/12/2024,Citilink,Arrival,158,3016,87, Rp -   ,RERE EFFENDY G,Berjadwal,SUB-AAP,QG460,
25/12/2024 11:17:57,25/12/2024,Citilink,Departure,183,208,100, Rp 1.395.623 ,RERE EFFENDY G,Berjadwal,AAP-SUB,QG461,
25/12/2024 11:20:53,25/12/2024,Batik Air,Arrival,132,2937,82,,RERE EFFENDY G,Berjadwal,CGK-AAP,ID6256,
25/12/2024 11:53:57,25/12/2024,Wing air,Arrival,75,3,100, Rp -   ,RERE EFFENFY G,Berjadwal,BEJ-AAP,IW1485,
25/12/2024 12:44:31,25/12/2024,Wing air,Departure,72,1,100, Rp 1.357.550 ,Andi Batara Fusthaathul,Berjadwal,AAP-BEJ,IW1484,
25/12/2024 12:50:14,25/12/2024,Susi air,Departure,12,0,100, Rp -   ,Andi Batara Fusthaathul,Perintis,AAP-RTU,SI8312,
25/12/2024 13:41:17,25/12/2024,Batik Air,Departure,154,469,98, Rp 1.994.800 ,Andi Batara Fusthaathul,Berjadwal,AAP-CGK,ID6257,
25/12/2024 13:43:30,25/12/2024,Super Air Jet,Arrival,181,745,99, Rp 1.395.700 ,Andi Batara Fusthaathul,Berjadwal,SUB-AAP,IU642,
25/12/2024 13:44:32,25/12/2024,Citilink,Arrival,144,1619,79, Rp 1.415.159 ,Andi Batara Fusthaathul,Berjadwal,CGK-AAP,QG422,
25/12/2024 15:04:14,25/12/2024,Super Air Jet,Departure,179,0,99, Rp 1.395.700 ,Andi Batara Fusthaathul ,Berjadwal,AAP-SUB,IU643,
25/12/2024 15:12:06,25/12/2024,Susi air,Arrival,12,0,100, Rp -   ,Andi Batara Fusthaathul,Perintis,LPU-AAP,SI8323,
25/12/2024 15:48:06,25/12/2024,Citilink,Departure,182,129,100, Rp 1.415.159 ,Andi Batara Fusthaathul,Berjadwal,AAP-CGK,QG423,
25/12/2024 16:40:53,25/12/2024,Susi air,Arrival,12,0,100, Rp -   ,Andi Batara Fusthaathul,Perintis,RTU-AAP,SI8313,
25/12/2024 16:52:57,25/12/2024,Batik Air,Arrival,139,2194,89, Rp 1.944.800 ,Andi Batara Fusthaathul,Berjadwal,CGK-AAP,ID6676,
25/12/2024 18:29:29,25/12/2024,Batik Air,Departure,155,0,100, Rp 1.944.800 ,Andi Batara Fusthaathul,Berjadwal,AAP-CGK,ID6677,
26/12/2024 9:19:12,26/12/2024,Batik Air,Arrival,61,3025,39, Rp 1.944.800 ,Anang ,Berjadwal,CGK-AAP,ID6672,
26/12/2024 9:44:45,26/12/2024,Batik Air,Departure,124,74,79, Rp 1.944.800 ,Dimas,Berjadwal,AAP-CGK,ID6673,
26/12/2024 10:08:36,26/12/2024,Super Air Jet,Arrival,166,2373,91, Rp 1.243.000 ,Anang ,Berjadwal,SUB-AAP ,IU640,
26/12/2024 10:21:27,26/12/2024,Super Air Jet,Departure,183,1,100, Rp 1.456.800 ,Anang ,Berjadwal,AAP-YIA,IU659,
26/12/2024 10:24:50,26/12/2024,Susi air,Departure,6,0,50,,Dimas ,Perintis,AAP-DTD,SI8324,
26/12/2024 10:37:49,26/12/2024,Citilink,Arrival,123,3023,68, Rp 1.395.900 ,Palung ,Berjadwal,SUB-AAP,QG460,
26/12/2024 11:08:24,26/12/2024,Citilink,Departure,182,58,99, Rp 1.395.900 ,Palung ,Berjadwal,AAP-SUB,QG461,
26/12/2024 12:30:54,26/12/2024,Susi air,Arrival,5,0,42, Rp -   ,Haries Nurcahya,Perintis,LPU-AAP,SI8323,
26/12/2024 12:38:30,26/12/2024,Susi air,Departure,11,0,92, Rp 485.660 ,Haries Nurcahya,Perintis,AAP-LPU,SI8322,
26/12/2024 12:47:43,26/12/2024,Batik Air,Arrival,92,2835,59, Rp -   ,Haries Nurcahya,Berjadwal,CGK-AAP,ID6256,
26/12/2024 12:53:09,26/12/2024,Wing air,Arrival,71,1,99, Rp -   ,Haries Nurcahya,Berjadwal,BEJ-AAP,IW1485,
26/12/2024 13:05:43,26/12/2024,Susi air,Arrival,11,0,92, Rp -   ,Muhammad Ghani Istijar,Perintis,DTD-AAP,SI8325,
26/12/2024 13:11:15,26/12/2024,Wing air,Departure,59,2,82, Rp 1.348.800 ,Muhammad Ghani Istijar,Berjadwal,AAP-BEJ,IW1484,
26/12/2024 13:28:19,26/12/2024,Batik Air,Departure,141,45,90, Rp 1.944.800 ,Herman,Berjadwal,AAP-CGK,ID6257,
26/12/2024 13:53:54,26/12/2024,Super Air Jet,Arrival,164,2969,91, Rp -   ,Herman,Berjadwal,YIA-AAP,IU658,
26/12/2024 13:59:41,26/12/2024,Citilink,Arrival,120,1363,66, Rp -   ,Haries Nurcahya,Berjadwal,CGK-AAP,QG422,
26/12/2024 14:43:40,26/12/2024,Susi air,Departure,3,0,25, Rp 350.000 ,Muhammad Ghani Istijar,Perintis,AAP-MHU,SI8356,
26/12/2024 14:56:06,26/12/2024,Helikopter,Arrival,0,0,0, Rp -   ,Haries Nurcahya,Tidak Berjadwal,PKY-AAP,HS7202 (Military),
26/12/2024 14:57:05,26/12/2024,Helikopter,Arrival,0,0,0, Rp -   ,Haries Nurcahya,Tidak Berjadwal,PKY-AAP,HS7203 (Military),
26/12/2024 15:11:30,26/12/2024,Super Air Jet,Departure,182,371,99, Rp 1.395.700 ,Haries Nurcahya,Berjadwal,AAP-SUB,IU643,
26/12/2024 16:03:39,26/12/2024,Citilink,Departure,137,49,76, Rp 1.496.800 ,Haries Nurcahya,Berjadwal,AAP-CGK,QG423,
26/12/2024 16:05:32,26/12/2024,Susi air,Arrival,12,0,100, Rp -   ,Haries Nurcahya,Perintis,MHU-AAP,SI8357,
26/12/2024 16:44:10,26/12/2024,Batik Air,Arrival,113,698,71, Rp -   ,Haries Nurcahya,Berjadwal,CGK-AAP,ID6676,
26/12/2024 19:10:54,26/12/2024,Batik Air,Departure,119,0,76, Rp 1.668.700 ,Haries Nurcahya,Berjadwal,AAP-CGK,ID6677,
27/12/2024 7:36:55,27/12/2025,Batik Air,Arrival,124,1807,78, Rp 1.944.800 ,"Agoes Yuliantoro, Khanina, Ahmad, Danayu",Berjadwal,CGK-AAP,ID6672,
27/12/2024 7:38:43,27/12/2024,Super Air Jet,Arrival,141,1342,77, Rp 1.243.000 ,"Agoes, khanina, Ahmad, Denayu",Berjadwal,SUB-AAP,IU640,
27/12/2024 9:27:48,27/12/2024,Batik Air,Departure,150,839,96, Rp 1.944.000 ,Ahmad,Berjadwal,AAP-CGK,ID6673,
27/12/2024 9:51:10,27/12/2024,Susi air,Departure,8,-,80, Rp 445.700 ,Agoes,Berjadwal,AAP-DTD,SI8324,
27/12/2024 10:00:07,27/12/2024,Super Air Jet,Departure,171,1,92, Rp 1.315.900 ,kHANINA,Berjadwal,AAP-YIA,IU659,
27/12/2024 10:04:02,27/12/2024,Citilink,Arrival,90,2992,50, Rp 1.395.000 ,Ahmad,Berjadwal,SUB-AAP,QG460,
27/12/2024 14:08:38,27/12/2024,Helikopter,Departure,0,0,0, Rp -   ,indra anugrah i,Tidak Berjadwal,AAP-BEJ,HS7202 (MILITARY),
27/12/2024 14:10:02,27/12/2024,Helikopter,Departure,0,0,0, Rp -   ,indra AI,Tidak Berjadwal,AAP-BEJ,HS7203 (MILITARY),
27/12/2024 14:15:42,27/12/2024,Citilink,Departure,148,267,81, Rp 1.395.900 ,Joko Prayitno,Berjadwal,AAP-SUB,QG461,
27/12/2024 14:21:01,27/12/2024,Susi air,Arrival,9,0,75, Rp -   ,Joko Prayitno,Perintis,DTD-AAP,SI8325,
27/12/2024 14:28:58,27/12/2024,Susi air,Departure,11,0,92, Rp 325.240 ,Siti Kholifah,Perintis,AAP-RTU,SI8312,
